,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
19,WIN,-27459.39670000002,-46.76787171464662,29.381443298969074,0.7000000000000002,0.1,2.4637955939242673
20,PETR4,-38495.021358000056,-47.6324157593716,30.186170212765955,0.7500000000000002,0.1,15.381834517719062
21,VALE3,-29269.325431999874,-52.26245733490199,30.555555555555557,0.7500000000000002,0.1,28.163033017021412
22,WDO,-15278.745000000054,-27.994752206518914,30.54448871181939,0.7500000000000002,0.1,12.598901878363723
23,WIN,-27213.372100000022,-47.110020573777604,29.29032258064516,0.7500000000000002,0.1,3.951473182195042
24,PETR4,-38495.02135800004,-44.53040086393813,29.71887550200803,0.8000000000000003,0.1,17.928927150165585
25,VALE3,-31458.235379999875,-56.42773723767923,30.252100840336134,0.8000000000000003,0.1,24.88386974552408
26,WDO,-17439.022500000137,-28.81483396742819,30.133333333333333,0.8000000000000003,0.1,10.090793640993677
27,WIN,-25184.31300000004,-42.40962342283494,29.18287937743191,0.8000000000000003,0.1,10.75142387931216
28,PETR4,-38495.02135800004,-44.12794765803817,29.75871313672922,0.8500000000000003,0.1,20.90561057956164
29,VALE3,-32088.602520999906,-54.40135208012558,30.252100840336134,0.8500000000000003,0.1,25.864733243436454
30,WDO,-17439.022500000137,-31.55761344305178,29.946524064171122,0.8500000000000003,0.1,10.793561487965464
31,WIN,-25882.968000000088,-41.796951631390954,29.388816644993497,0.8500000000000003,0.1,13.682915277103147
32,PETR4,-38495.021358000056,-43.71826272058229,29.594594594594593,0.9000000000000004,0.1,24.138709956651418
33,VALE3,-34179.91984600001,-58.78876700519305,30.196629213483146,0.9000000000000004,0.1,24.943572314187023
34,WDO,-17439.022500000137,-30.359668409656486,29.892761394101875,0.9000000000000004,0.1,13.077444677916695
35,WIN,-29146.45260000012,-48.462790749470685,29.18848167539267,0.9000000000000004,0.1,9.530749299196373
36,PETR4,-38495.021358000056,-54.232644900103274,29.347826086956523,0.9500000000000004,0.1,16.391134999741297
37,VALE3,-33917.85434700001,-58.56795783783411,29.745042492917843,0.9500000000000004,0.1,28.39033927731247
38,WDO,-17439.022500000137,-30.552868994888605,29.56989247311828,0.9500000000000004,0.1,11.214106523394518
39,WIN,-27346.272600000128,-44.25247558261804,28.92670157068063,0.9500000000000004,0.1,8.960901102622909
40,PETR4,-38495.021358000056,-52.863080966391365,29.155313351498634,1.0000000000000004,0.1,18.794378318160533
41,VALE3,-35732.88261299998,-62.81968932250091,29.871977240398294,1.0000000000000004,0.1,29.648635706104677
