    "ABEV3_min"     1,3831           60,395        
    "ABEV3_max"     1,3427           56,579        
    "BBAS3_min"     1,6718           57,105        
    "BBAS3_max"     1,5588           56,447        
    "BBDC4_min"     1,6946           54,737        
    "BBDC4_max"     1,6113           54,737        
    "ITUB4_min"     1,5801           56,184        
    "ITUB4_max"     1,5365           56,842        
    "PETR4_min"     1,9813           57,632        
    "PETR4_max"     1,7295           59,737        
    "VALE3_min"     1,6991           56,053        
    "VALE3_max"     1,5945           54,868        
    "WDO_min"       1,1907           53,448        
    "WDO_max"       1,1068           58,488        
    "WIN_min"       1,0608           56,316        
    "WIN_max"      0,86219           57,368        
